Name,Rating,Review_Count,Price,Cuisine,Latitude,Longitude,Street,City,Zip
Beehive Coffee,4.0,128,$,Coffee & Tea,40.4289537,-79.9842819,1327 E Carson St,Pittsburgh, PA 15203
Cafe io,4.0,92,$$,Cafes,40.3889198303223,-80.049919128418,300 Beverly Rd,Pittsburgh, PA 15216
Tan Lac Vien,3.5,198,$$,Vietnamese,40.4332,-79.92325,2114 Murray Ave,Pittsburgh, PA 15217
Paris 66,3.5,208,$$,French,40.459956,-79.92427,6018 Centre Ave,Pittsburgh, PA 15206
Round Corner Cantina,3.5,311,$$,Mexican,40.4665926843882,-79.9643587321043,3720 Butler St,Pittsburgh, PA 15201
Shady Grove,3.5,202,$$,American (Traditional),40.45096,-79.93359,5500 Walnut St,Pittsburgh, PA 15232
Bae Bae's Kitchen,4.5,67,$$,Korean,40.4435133920582,-79.9961381390621,951 Liberty Ave,Pittsburgh, PA 15222
Arnold's Tea,4.5,52,$,Sandwiches,40.4537010192871,-80.0004806518555,502 E Ohio St,Pittsburgh, PA 15212
Jerome Bettis' Grille 36,3.5,380,$$,American (Traditional),40.4456301,-80.0121247,393 N Shore Dr,Pittsburgh, PA 15212
Ramen Bar,3.5,255,$$,Ramen,40.4379625914569,-79.9206533432007,5860 Forbes Ave,Pittsburgh, PA 15217
Taste of India,4.0,111,$$,Indian,40.4657399,-79.95352,4320 Penn Ave,Pittsburgh, PA 15224
Little Bangkok In the Strip,4.0,113,$$,Thai,40.45074,-79.98408,1906 Penn Ave,Pittsburgh, PA 15222
Sichuan Gourmet,4.0,113,$$,Szechuan,40.4389524203373,-79.9551590458901,328 Atwood St,Pittsburgh, PA 15213
Stagioni,4.0,110,$$,Italian,40.42824,-79.97593,2104 E Carson St,Pittsburgh, PA 15203
Hyde Park Prime Steakhouse,4.0,156,$$$,Steakhouses,40.446175,-80.0082771,247 N Shore Dr,Pittsburgh, PA 15212
Sumi's Cakery,4.5,69,$,Bakeries,40.4331,-79.92289,2119 Murray Ave,Pittsburgh, PA 15217
Triangle Bar & Grill,4.5,78,$,Sandwiches,40.41757,-79.88794,2122 Monongahela Ave,Pittsburgh, PA 15218
